Memory_image,thisN,thisTrialN,thisRepN,loopmemory.thisRepN,loopmemory.thisTrialN,loopmemory.thisN,loopmemory.thisIndex,thisRow.t,notes,beforeplay.started,imageBeforeplay.started,keyBeforeplay.started,imageBeforeplay.stopped,beforeplay.stopped,keyBeforeplay.keys,keyBeforeplay.rt,keyBeforeplay.duration,trialmemory.started,image_2.started,trialmemory.stopped,fixation.started,image.started,fixation.stopped,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,0.015846800000872463,0.03206119999958901,0.03206119999958901,1.0329448000047705,7.093309500000032,space,7.008343399997102,None,,,,,,,014531,001,2025-05-07_15h30.20.544,untitled,2024.2.5,60.009385467746114,2025-05-07 15h30.25.823459 +0700,
image/memory4a.png,0,0,0,0,0,0,7,7.195265599999402,,,,,,,,,,7.178522400005022,7.195265599999402,12.099532100000943,12.099550600003568,12.116161800004193,12.59996250000404,014531,001,2025-05-07_15h30.20.544,untitled,2024.2.5,60.009385467746114,2025-05-07 15h30.25.823459 +0700,
image/memory14a.png,1,1,0,0,1,1,27,12.63716420000128,,,,,,,,,,12.629474300003494,12.63716420000128,,,,,,,,,,,,
