Memory_image,answer_key,answer_image,thisN,thisTrialN,thisRepN,key_resp.keys,key_resp.corr,key_resp.rt,key_resp.duration,loopmemory.thisRepN,loopmemory.thisTrialN,loopmemory.thisN,loopmemory.thisIndex,thisRow.t,notes,beforeplay.started,imageBeforeplay.started,keyBeforeplay.started,beforeplay.stopped,keyBeforeplay.keys,keyBeforeplay.rt,keyBeforeplay.duration,fixation.started,imagefixation.started,imagefixation.stopped,fixation.stopped,trialmemory.started,image_2.started,trialmemory.stopped,anwer.started,imaganswer.started,key_resp.started,anwer.stopped,loopmemory.key_resp.keys,loopmemory.key_resp.corr,loopmemory.key_resp.rt,loopmemory.key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,,,,,,,,,,,,,,,0.003206999972462654,0.019193199928849936,0.019193199928849936,0.6305372000206262,space,0.5657841999782249,None,,,,,,,,,,,,,,,,973303,001,2025-05-15_17h54.16.482,untitled,2024.2.5,60.006648773339464,2025-05-15 17h54.21.177650 +0700,
image/memory1.png,3,image/memory1a.png,0,0,0,1,0,1.231469799997285,None,0,0,0,0,0.6442639000015333,,,,,,,,,0.6366473999805748,0.6442639000015333,1.2087923999642953,1.128204199951142,1.1999762000050396,1.2087923999642953,4.144778499961831,4.217469700030051,4.226738499943167,4.226738499943167,5.460897899931297,1,0,1.231469799997285,None,973303,001,2025-05-15_17h54.16.482,untitled,2024.2.5,60.006648773339464,2025-05-15 17h54.21.177650 +0700,
image/memory2.png,4,image/memory2a.png,1,1,0,1,0,0.5472941999323666,None,0,1,1,1,5.477129300008528,,,,,,,,,5.461002200026996,5.477129300008528,5.9981019999831915,5.96112130000256,5.985860500019044,5.9981019999831915,8.967443599947728,8.988481999957003,9.004682899918407,9.004682899918407,9.555769799975678,1,0,0.5472941999323666,None,973303,001,2025-05-15_17h54.16.482,untitled,2024.2.5,60.006648773339464,2025-05-15 17h54.21.177650 +0700,
image/memory3.png,4,image/memory3a.png,2,2,0,1,0,0.5211360999383032,None,0,2,2,2,9.571819099946879,,,,,,,,,9.555868799914606,9.571819099946879,10.092831299989484,10.055883000022732,10.076931099989451,10.092831299989484,13.06219810002949,13.085107199964114,13.099347800016403,13.099347800016403,13.633657300029881,1,0,0.5211360999383032,None,973303,001,2025-05-15_17h54.16.482,untitled,2024.2.5,60.006648773339464,2025-05-15 17h54.21.177650 +0700,
image/memory4.png,2,image/memory4a.png,3,3,0,1,0,0.540808399906382,None,0,3,3,3,13.649902499979362,,,,,,,,,13.633753699949011,13.649902499979362,14.17086409998592,14.13391319999937,14.154707500012591,14.17086409998592,17.140187199926004,17.161123999976553,17.17747569992207,17.17747569992207,17.728385300026275,1,0,0.540808399906382,None,973303,001,2025-05-15_17h54.16.482,untitled,2024.2.5,60.006648773339464,2025-05-15 17h54.21.177650 +0700,
image/memory5.png,4,image/memory5a.png,4,4,0,1,0,0.699706899933517,None,0,4,4,4,17.744576899916865,,,,,,,,,17.728486999985762,17.744576899916865,18.265497599961236,18.228573599946685,18.250490200007334,18.265497599961236,21.234921199968085,21.255984199931845,21.27210850000847,21.27210850000847,21.973180299974047,1,0,0.699706899933517,None,973303,001,2025-05-15_17h54.16.482,untitled,2024.2.5,60.006648773339464,2025-05-15 17h54.21.177650 +0700,
image/memory6.png,3,image/memory6a.png,5,5,0,,,,,0,5,5,5,21.989399799960665,,,,,,,,,21.973282599938102,21.989399799960665,22.51038869994227,22.473418699926697,22.49475169996731,22.51038869994227,25.479766899952665,25.50093049998395,25.51689540001098,25.51689540001098,,,,,,,,,,,,,
